swhid,url,commits,age,devs
swh:1:ori:006762b49f6052c9648a93fabcddeb68c90d2382,https://github.com/voila-dashboards/voila,585,579,39
swh:1:ori:0089824c1a5fc9ae7a9993bf7b7db33474472980,deb://Debian/packages/imediff2,2,851,2
swh:1:ori:008dc9bd6c1dc2c8f04176e718571c0e0a644d36,deb://Debian/packages/tryton-modules-account-fr,3,1216,1
swh:1:ori:00a082063e1572f77e21b9dedef30635e60a99e8,https://github.com/qutebrowser/qutebrowser,16859,1761,317
swh:1:ori:0119a2b373999b47daace7c1e56187500a9559ba,https://github.com/neozhaoliang/pywonderland,203,404,4
swh:1:ori:012c940ae34a05ab7b0e2828190ae21c9947ae1d,https://github.com/UKPLab/sentence-transformers,469,475,33
swh:1:ori:01350e69269c647f9c008d5b066e856cbebec649,https://pypi.org/project/python-jenkins/,32,2313,3
swh:1:ori:014718b4d7f6f3a48b821ece2f51873a7a31f2f2,deb://Debian/packages/python-misaka,2,558,1
swh:1:ori:015d61f6f1bace9432991a39ed5b06ade7bdf79d,deb://Debian/packages/python3-proselint,3,618,1
swh:1:ori:0182a0876a85a5c2ab47d4b6d60d362f09712b53,deb://Debian/packages/python-pygraphviz,3,1099,1
swh:1:ori:018438a0237516842ca1d683f6566e66dabe0722,https://github.com/avinashpaliwal/Super-SloMo,52,342,10
swh:1:ori:0202aab0d4280a2500b35f8bf05ab1829f3d190f,deb://Debian/packages/veusz,2,616,2
swh:1:ori:020ac8f842f9bc1ea008e16f08daf063028de402,https://github.com/matplotlib/matplotlib,15099,4468,504
swh:1:ori:0259ab09d7832d244383f26fab074d04bfba11cd,deb://Debian/packages/python-vobject,3,2224,2
swh:1:ori:0296518ab455c927859fe26b563140a4a35fa829,https://pypi.org/project/scikit-learn/,42,3086,2
swh:1:ori:0299628a7da6d9aee24f6854f0dbe351ed83d662,https://pypi.org/project/azure-mgmt-storage/,40,1719,3
swh:1:ori:02bec72e0d34548ad845090c7b8238e0a8d174cf,https://github.com/ultralytics/yolov3,2282,578,27
swh:1:ori:02cf3246596ef79531e460a17ca021c198b838b1,https://github.com/InsaneLife/ChineseNLPCorpus,27,587,6
swh:1:ori:02d7170894ad53123ef375e965666e44fcba55e3,https://github.com/Bitmessage/PyBitmessage,1478,988,109
swh:1:ori:02fe4fc37f4fa5f89698ae066bd6dcc0bc6dcc98,https://github.com/python-openxml/python-docx,842,572,8
swh:1:ori:030b62d2b200ade4e00efca20f6a954d23b8f0aa,https://pypi.org/project/structlog/,20,2224,2
swh:1:ori:031077fdb0407b163e40d4bbe3b167c53a3c4338,https://github.com/toml-lang/toml,726,2629,187
swh:1:ori:034f35f4f4c645746ac8a1b6d484f7f6c3020e9a,https://pypi.org/project/configobj/,12,2077,3
swh:1:ori:0395a73d06d14e29231bb305ce23946449a7e4d8,https://pypi.org/project/lockfile/,5,824,2
swh:1:ori:0398478c24dfea39e367eb7face6e45149bc7eff,https://pypi.org/project/html5lib/,20,2126,1
swh:1:ori:03fc1037e2de4224eb6e23766e3762c7d9debb7c,https://gitlab.com/radek-sprta/python-cookiecutter.git,21,71,1
swh:1:ori:0412c632ff997dca217b23e32e2044cd23c3f092,https://pypi.org/project/zipp/,3,0,1
swh:1:ori:0414a2890f8692fb63374be4dd8af893038c29b6,https://pypi.org/project/oslo.i18n/,50,1701,2
swh:1:ori:042878fc990d317c70941129b842ed34c5d26b86,https://github.com/encode/apistar,748,521,87
swh:1:ori:044678df1011169ad82e3fd58e0b496217b1a5af,deb://Debian/packages/tryton-modules-stock-location-sequence,3,1216,1
swh:1:ori:044eb8267bc2b6a6ed5ca753a75d88c3c3fd51a7,deb://Debian/packages/python-xlib,3,2944,2
swh:1:ori:0451d649054ee4119169ea61515551417a9e2bc1,https://github.com/dmlc/dgl,10317,18608,660
swh:1:ori:045281d98d5f4289f03511664ba96bb7b0e3b2a0,deb://Debian/packages/python-geopandas,2,469,1
swh:1:ori:049327a9645588c19098e142f72ab46610d5ff0a,deb://Debian/packages/bdii,2,116,1
swh:1:ori:04a0cfb0a98f60891c68c990b3a068bcbcd59bc7,deb://Debian/packages/python-stetl,3,508,1
swh:1:ori:04a65cb634e1f3e01dd5aaedd0b82a9ecf5c78ba,https://github.com/aws/aws-sam-cli,1127,1210,203
swh:1:ori:04bf5c127d287190060757b27d1fb761fe1b2a11,https://pypi.org/project/statsd/,22,2689,1
